iter	Passed	Remaining
404	7344	10790
405	7361	10769
406	7367	10734
407	7383	10713
408	7399	10692
409	7417	10674
410	7434	10653
411	7452	10636
412	7469	10616
413	7486	10596
414	7501	10574
415	7518	10554
416	7534	10534
417	7552	10515
418	7569	10496
419	7586	10476
420	7604	10458
421	7621	10439
422	7639	10421
423	7656	10401
424	7672	10380
425	7685	10355
426	7691	10321
427	7708	10302
428	7725	10282
429	7741	10261
430	7758	10242
431	7774	10222
432	7791	10203
433	7810	10186
434	7824	10162
435	7841	10143
436	7870	10140
437	7890	10124
438	7907	10105
439	7924	10086
440	7941	10065
441	7959	10047
442	7977	10029
443	7994	10011
444	8011	9991
445	8029	9973
446	8045	9953
447	8063	9935
448	8081	9916
449	8098	9898
450	8124	9890
451	8142	9872
452	8161	9854
453	8177	9834
454	8194	9815
455	8202	9785
456	8221	9768
457	8237	9748
458	8253	9727
459	8269	9707
460	8285	9687
461	8302	9668
462	8318	9648
463	8335	9628
464	8352	9609
465	8377	9600
466	8401	9588
467	8417	9568
468	8433	9548
469	8450	9529
470	8466	9509
471	8475	9481
472	8479	9447
473	8495	9427
474	8518	9414
475	8534	9395
476	8566	9392
477	8583	9374
478	8600	9354
479	8623	9341
480	8626	9308
481	8643	9288
482	8659	9269
483	8676	9250
484	8693	9231
485	8713	9215
486	8717	9182
487	8731	9160
488	8748	9141
489	8765	9122
490	8791	9113
491	8811	9098
492	8831	9082
493	8863	9078
494	8879	9059
495	8895	9038
496	8913	9021
497	8929	9001
498	8943	8979
499	8959	8959
500	8975	8939
501	8992	8920
502	9008	8900
503	9039	8896
504	9056	8876
505	9073	8858
506	9090	8839
507	9112	8825
508	9129	8806
509	9143	8784
510	9160	8765
511	9176	8745
512	9193	8727
513	9226	8723
514	9242	8704
515	9258	8684
516	9276	8666
517	9282	8637
518	9299	8618
519	9316	8599
520	9322	8571
521	9339	8552
522	9367	8543
523	9384	8524
524	9396	8501
525	9430	8498
526	9448	8479
527	9466	8462
528	9482	8443
529	9513	8436
530	9541	8427
531	9559	8409
532	9576	8391
533	9594	8372
534	9610	8353
535	9628	8335
536	9634	8306
537	9667	8301
538	9675	8275
539	9692	8256
540	9708	8237
541	9724	8217
542	9741	8198
543	9758	8179
544	9776	8161
545	9793	8143
546	9811	8125
547	9829	8107
548	9857	8097
549	9876	8080
550	9886	8056
551	9904	8038
552	9920	8019
553	9936	7999
554	9942	7971
555	9957	7951
556	9973	7932
557	9979	7904
558	10006	7893
559	10027	7878
560	10043	7859
561	10053	7835
562	10069	7815
563	10084	7796
564	10100	7776
565	10108	7750
566	10118	7727
567	10134	7707
568	10153	7690
569	10168	7671
570	10176	7646
571	10195	7628
572	10216	7613
573	10226	7589
574	10244	7571
575	10260	7552
576	10277	7534
577	10294	7515
578	10310	7497
579	10324	7476
580	10335	7453
581	10348	7432
582	10365	7414
583	10381	7395
584	10399	7377
585	10411	7355
586	10428	7337
587	10444	7318
588	10462	7300
589	10475	7279
590	10492	7261
591	10509	7242
592	10523	7222
593	10542	7205
594	10575	7198
595	10586	7176
596	10605	7158
597	10623	7141
598	10644	7126
599	10668	7112
600	10684	7093
601	10700	7074
602	10717	7055
603	10734	7037
604	10751	7019
605	10768	7001
606	10784	6982
607	10798	6962
608	10806	6937
609	10813	6913
610	10828	6894
611	10844	6875
612	10860	6856
613	10881	6840
614	10894	6820
615	10902	6796
616	10940	6791
617	10959	6774
618	10975	6755
619	10998	6741
620	11015	6722
621	11032	6704
622	11040	6681
623	11058	6663
624	11076	6646
625	11094	6628
626	11103	6605
627	11130	6593
628	11164	6585
629	11174	6562
630	11187	6542
631	11212	6528
632	11235	6513
633	11243	6490
634	11247	6465
635	11264	6446
636	11282	6429
637	11298	6410
638	11314	6392
639	11331	6373
640	11344	6353
641	11360	6335
642	11377	6317
643	11386	6294
644	11402	6276
645	11419	6257
646	11423	6232
647	11439	6214
648	11465	6200
649	11489	6186
650	11504	6167
651	11522	6150
652	11536	6130
653	11554	6112
654	11570	6094
655	11588	6076
656	11595	6053
657	11608	6033
658	11634	6020
659	11650	6001
660	11666	5983
661	11680	5963
662	11696	5945
663	11720	5930
664	11741	5915
665	11764	5899
666	11770	5876
667	11788	5858
668	11804	5840
669	11826	5825
670	11844	5807
671	11860	5789
672	11877	5771
673	11892	5752
674	11903	5731
675	11922	5714
676	11937	5695
677	11953	5676
678	11956	5652
679	11974	5634
680	12000	5621
681	12015	5602
682	12032	5584
683	12041	5563
684	12058	5545
685	12073	5526
686	12089	5508
687	12113	5493
688	12134	5477
689	12153	5460
690	12171	5442
691	12198	5429
692	12204	5406
693	12220	5388
694	12237	5370
695	12253	5352
696	12276	5336
697	12292	5318
698	12308	5300
699	12324	5282
700	12341	5264
701	12358	5245
702	12373	5227
703	12390	5209
704	12398	5188
705	12414	5169
706	12431	5151
707	12448	5134
708	12465	5116
709	12471	5093
710	12481	5073
711	12510	5060
712	12526	5042
713	12534	5020
714	12550	5002
715	12566	4984
716	12584	4967
717	12602	4949
718	12621	4932
719	12629	4911
720	12652	4895
721	12676	4880
722	12695	4863
723	12727	4852
724	12744	4834
725	12760	4816
726	12777	4798
727	12794	4780
728	12812	4763
729	12818	4741
730	12834	4722
731	12846	4703
732	12862	4685
733	12884	4669
734	12908	4654
735	12932	4638
736	12950	4621
737	12967	4603
738	12983	4585
739	12999	4567
740	13017	4550
741	13040	4534
742	13056	4516
743	13084	4502
744	13102	4484
745	13120	4467
746	13137	4449
747	13155	4432
748	13166	4412
749	13199	4399
750	13218	4382
751	13237	4365
752	13255	4348
753	13272	4330
754	13289	4312
755	13320	4299
756	13337	4281
757	13346	4261
758	13362	4242
759	13378	4224
760	13399	4208
761	13434	4196
762	13451	4178
763	13467	4160
764	13483	4141
765	13499	4123
766	13514	4105
767	13526	4085
768	13541	4067
769	13558	4049
770	13574	4031
771	13591	4014
772	13608	3996
773	13625	3978
774	13647	3962
775	13669	3945
776	13710	3934
777	13722	3915
778	13730	3895
779	13745	3876
780	13760	3858
781	13774	3839
782	13788	3821
783	13804	3803
784	13821	3785
785	13844	3769
786	13860	3751
787	13871	3731
788	13886	3713
789	13902	3695
790	13920	3678
791	13931	3658
792	13936	3637
793	13954	3620
794	13969	3602
795	13975	3581
796	13992	3563
797	14007	3545
798	14023	3527
799	14040	3510
800	14056	3492
801	14072	3474
802	14088	3456
803	14105	3438
804	14124	3421
805	14138	3403
806	14168	3388
807	14184	3370
808	14216	3356
809	14232	3338
810	14248	3320
811	14276	3305
812	14283	3285
813	14299	3267
814	14314	3249
815	14328	3230
816	14354	3215
817	14371	3197
818	14403	3183
819	14410	3163
820	14427	3145
821	14441	3127
822	14459	3109
823	14476	3091
824	14492	3074
825	14507	3056
826	14526	3038
827	14545	3021
828	14551	3001
829	14568	2983
830	14574	2964
831	14590	2946
832	14604	2927
833	14642	2914
834	14658	2896
835	14675	2878
836	14692	2861
837	14708	2843
838	14725	2825
839	14735	2806
840	14752	2789
841	14768	2771
842	14776	2752
843	14795	2734
844	14802	2715
845	14819	2697
846	14834	2679
847	14851	2662
848	14867	2644
849	14883	2626
850	14902	2609
851	14919	2591
852	14934	2573
853	14950	2555
854	14967	2538
855	14976	2519
856	14992	2501
857	15007	2483
858	15022	2465
859	15031	2447
860	15047	2429
861	15055	2410
862	15069	2392
863	15085	2374
864	15104	2357
865	15151	2344
866	15194	2330
867	15202	2311
868	15225	2295
869	15238	2277
870	15255	2259
871	15272	2241
872	15296	2225
873	15302	2206
874	15318	2188
875	15334	2170
876	15350	2152
877	15366	2135
878	15382	2117
879	15388	2098
880	15393	2079
881	15410	2061
882	15426	2044
883	15443	2026
884	15460	2008
885	15476	1991
886	15492	1973
887	15509	1956
888	15525	1938
889	15542	1920
890	15560	1903
891	15576	1885
892	15598	1869
893	15619	1852
894	15644	1835
895	15674	1819
896	15697	1802
897	15720	1785
898	15745	1768
899	15770	1752
900	15792	1735
901	15814	1718
902	15843	1701
903	15865	1684
904	15893	1668
905	15947	1654
906	15991	1639
907	16020	1623
908	16051	1606
909	16072	1589
910	16095	1572
911	16128	1556
912	16160	1539
913	16181	1522
914	16201	1505
915	16222	1487
916	16264	1472
917	16278	1454
918	16293	1436
919	16308	1418
920	16322	1400
921	16337	1382
922	16352	1364
923	16368	1346
924	16385	1328
925	16400	1310
926	16417	1292
927	16442	1275
928	16459	1257
929	16476	1240
930	16492	1222
931	16508	1204
932	16524	1186
933	16541	1168
934	16557	1151
935	16574	1133
936	16590	1115
937	16606	1097
938	16627	1080
939	16652	1062
940	16672	1045
941	16701	1028
942	16717	1010
943	16734	992
944	16758	975
945	16774	957
946	16791	939
947	16800	921
948	16816	903
949	16833	885
950	16851	868
951	16869	850
952	16886	832
953	16903	815
954	16921	797
955	16939	779
956	16956	761
957	16971	744
958	16987	726
959	17003	708
960	17020	690
961	17036	672
962	17058	655
963	17074	637
964	17104	620
965	17122	602
966	17138	584
967	17156	567
968	17172	549
969	17190	531
970	17207	513
971	17224	496
972	17240	478
973	17256	460
974	17272	442
975	17288	425
976	17304	407
977	17320	389
978	17336	371
979	17352	354
980	17368	336
981	17388	318
982	17405	301
983	17422	283
984	17438	265
985	17456	247
986	17472	230
987	17489	212
988	17505	194
989	17522	176
990	17538	159
991	17554	141
992	17570	123
993	17587	106
994	17604	88
995	17621	70
996	17638	53
997	17655	35
998	17672	17
999	17700	0
